ICAO,Country,Type,Procedure
DAAD,Algeria,IAP,VOR DME RWY 22 (CAT A & B)
DAAD,Algeria,IAP,VOR DME RWY 22 (CAT C)
DAAE,Algeria,IAP,ILS OR LOC RWY 26
DAAE,Algeria,IAP,NDB RWY 26
DAAE,Algeria,IAP,RNP W RWY 26
DAAE,Algeria,IAP,RNP Z RWY 08
DAAE,Algeria,IAP,RNP Z RWY 26
DAAE,Algeria,IAP,VOR RWY 26
DAAG,Algeria,SID,"BABOR, BJA, BSA & TAGRO 1A & 1C DEPS"
DAAG,Algeria,SID,"BABOR, BJA, BSA & TAGRO 1B & 1D DEPS"
DAAG,Algeria,SID,"BOURI, MOGIL, OTARO & PECES 1A & 1C DEPS"
DAAG,Algeria,SID,"BOURI, MOGIL, OTARO & PECES 1B & 1D DEPS"
DAAG,Algeria,SID,BSA 1E & 1G DEPS
DAAG,Algeria,SID,BSA 1F & 1H DEPS
DAAG,Algeria,SID,"CHE, LABRO & SADAF 1A & 1C DEPS"
DAAG,Algeria,SID,"CHE, LABRO & SADAF 1B & 1D DEPS"
DAAG,Algeria,IAP,ILS OR LOC OR VOR DME RWY 09
DAAG,Algeria,IAP,ILS OR LOC RWY 09
DAAG,Algeria,IAP,ILS OR LOC RWY 23
DAAG,Algeria,IAP,ILS OR LOC RWY 27
DAAG,Algeria,IAP,VOR RWY 05
DAAG,Algeria,IAP,VOR RWY 09
DAAG,Algeria,IAP,VOR RWY 23
DAAG,Algeria,IAP,VOR RWY 27
DAAJ,Algeria,IAP,ILS OR LOC RWY 12 (CAT A & B)
DAAJ,Algeria,IAP,ILS OR LOC RWY 12 (CAT C & D)
DAAJ,Algeria,IAP,VOR DME RWY 02
DAAJ,Algeria,IAP,VOR DME RWY 12
DAAP,Algeria,IAP,VOR DME RWY 27
DAAP,Algeria,IAP,VOR RWY 27
DAAS,Algeria,IAP,LOC RWY 27
DAAS,Algeria,IAP,VOR DME RWY 09
DAAS,Algeria,IAP,VOR RWY 27
DAAT,Algeria,IAP,ILS OR LOC RWY 08
DAAT,Algeria,IAP,VOR DME ILS RWY 20
DAAT,Algeria,IAP,VOR DME RWY 02
DAAT,Algeria,IAP,VOR RWY 08
DAAV,Algeria,IAP,ILS RWY 17 (CAT A & B)
DAAV,Algeria,IAP,ILS RWY 17 (CAT C & D)
DAAV,Algeria,IAP,VOR DME RWY 17
DAAV,Algeria,IAP,VOR RWY 17 (CAT C & D)
DABB,Algeria,IAP,ILS OR LOC RWY 18
DABB,Algeria,IAP,LCTR RWY 18
DABB,Algeria,IAP,VOR DME RWY 18
DABB,Algeria,IAP,VOR DME RWY 23
DABB,Algeria,IAP,VOR RWY 18
DABB,Algeria,IAP,VOR RWY 23
DABC,Algeria,IAP,ILS Y RWY 31
DABC,Algeria,IAP,ILS Y RWY 34
DABC,Algeria,IAP,ILS Z RWY 31
DABC,Algeria,IAP,ILS Z RWY 34
DABC,Algeria,IAP,VOR DME RWY 31
DABC,Algeria,IAP,VOR RWY 34
DABS,Algeria,IAP,VOR DME RWY 11 & 12
DABS,Algeria,IAP,VOR RWY 11 & 12
DABT,Algeria,IAP,ILS OR LOC RWY 23 (CAT A & B)
DABT,Algeria,IAP,ILS OR LOC RWY 23 (CAT C & D)
DABT,Algeria,IAP,VOR DME RWY 23
DAOB,Algeria,IAP,VOR DME OR VOR RWY 26
DAOF,Algeria,IAP,ILS OR LOC RWY 26R
DAOF,Algeria,IAP,NDB RWY 26L
DAOF,Algeria,IAP,VOR RWY 26R
DAOI,Algeria,IAP,VOR DME RWY 26 (CAT A & B)
DAOI,Algeria,IAP,VOR DME RWY 26 (CAT C & D)
DAON,Algeria,IAP,ILS OR LOC RWY 25 (CAT A & B)
DAON,Algeria,IAP,ILS OR LOC RWY 25 (CAT C & D)
DAON,Algeria,IAP,VOR DME RWY 25
DAOO,Algeria,SID,"SID 51, 52, 71 & 72 DEPS"
DAOO,Algeria,SID,SID 53 & 73 DEPS
DAOO,Algeria,SID,SID 54 & 74 DEPS
DAOO,Algeria,STAR,ARRS
DAOO,Algeria,IAP,ILS OR LOC RWY 25L
DAOO,Algeria,IAP,ILS OR LOC RWY 25R
DAOO,Algeria,IAP,VOR RWY 07L (CAT A & B)
DAOO,Algeria,IAP,VOR RWY 07L (CAT C & D)
DAOO,Algeria,IAP,VOR RWY 07R (CAT A & B)
DAOO,Algeria,IAP,VOR RWY 07R (CAT C & D)
DAOO,Algeria,IAP,VOR RWY 25L
DAOO,Algeria,IAP,VOR RWY 25R
DAOR,Algeria,IAP,NDB RWY 24
DAOR,Algeria,IAP,VOR DME ILS RWY 18
DAOR,Algeria,IAP,VOR DME OR VOR RWY 18
DAOV,Algeria,IAP,NDB RWY 08
DAOV,Algeria,IAP,VOR RWY 08
DAOY,Algeria,IAP,VOR DME RWY 04 (CAT A & B)
DAOY,Algeria,IAP,VOR DME RWY 04 (CAT C & D)
DATG,Algeria,IAP,NDB RWY 08 (CAT A & B)
DATG,Algeria,IAP,VOR RWY 08 (CAT A & B)
DATG,Algeria,IAP,VOR RWY 08 (CAT A & B) (TEMP)
DATM,Algeria,IAP,VOR DME RWY 26 (CAT A & B)
DATM,Algeria,IAP,VOR DME RWY 26 (CAT C & D)
DATM,Algeria,IAP,VOR RWY 26
DAUA,Algeria,IAP,ILS OR LOC RWY 04
DAUA,Algeria,IAP,VOR DME RWY 04
DAUA,Algeria,IAP,VOR RWY 04
DAUB,Algeria,IAP,VOR DME ILS RWY 31
DAUB,Algeria,IAP,VOR Y RWY 31
DAUB,Algeria,IAP,VOR Z RWY 31
DAUE,Algeria,IAP,VOR RWY 36
DAUG,Algeria,IAP,ILS OR LOC RWY 30
DAUG,Algeria,IAP,NDB RWY 36
DAUG,Algeria,IAP,VOR RWY 30
DAUH,Algeria,SID,"SID 1, 2 & 3 DEPS"
DAUH,Algeria,SID,SID 4 & 5 DEPS
DAUH,Algeria,STAR,ARRS
DAUH,Algeria,IAP,VOR DME ILS RWY 36
DAUH,Algeria,IAP,VOR DME RWY 18
DAUH,Algeria,IAP,VOR DME RWY 36
DAUI,Algeria,IAP,VOR DME RWY 05
DAUI,Algeria,IAP,VOR RWY 05
DAUK,Algeria,IAP,ILS OR LOC RWY 01
DAUK,Algeria,IAP,VOR DME RWY 01
DAUK,Algeria,IAP,VOR RWY 01
DAUO,Algeria,IAP,ILS Y OR LOC Y RWY 13
DAUO,Algeria,IAP,ILS Z OR LOC Z RWY 13
DAUO,Algeria,IAP,VOR RWY 13
DAUT,Algeria,IAP,VOR DME RWY 06
DAUT,Algeria,IAP,VOR RWY 06
DAUU,Algeria,IAP,ILS OR LOC RWY 36
DAUU,Algeria,IAP,VOR DME RWY 36
DAUU,Algeria,IAP,VOR RWY 18
DAUU,Algeria,IAP,VOR RWY 36
DAUZ,Algeria,IAP,ILS OR LOC RWY 05
DAUZ,Algeria,IAP,NDB RWY 23
DAUZ,Algeria,IAP,VOR DME RWY 23
DAUZ,Algeria,IAP,VOR RWY 23
NSTU,American Samoa,IAP,ILS OR LOC RWY 5
NSTU,American Samoa,IAP,RNAV (GPS) RWY 23
NSTU,American Samoa,IAP,RNAV (GPS) RWY 5
NSTU,American Samoa,IAP,VOR OR TACAN-B
FNBJ,Angola,IAP,CAT II ILS DME Y RWY 24L
FNBJ,Angola,IAP,CAT II RNAV ILS DME Z RWY 24L
FNBJ,Angola,IAP,ILS DME Y RWY 06R
FNBJ,Angola,IAP,ILS DME Y RWY 24L
FNBJ,Angola,IAP,RNAV ILS DME Z RWY 06R
FNBJ,Angola,IAP,RNAV ILS DME Z RWY 24L
FNBJ,Angola,IAP,RNAV ILS DME Z RWY 24R
FNBJ,Angola,IAP,RNP RWY 06L
FNBJ,Angola,IAP,RNP RWY 24L
FNCA,Angola,IAP,RNAV (GNSS) RWY 18
FNCA,Angola,IAP,RNAV (GNSS) RWY 36
FNCT,Angola,STAR,RNAV ARRS RWY 02
FNCT,Angola,STAR,RNAV ARRS RWY 20
FNCT,Angola,IAP,RNAV (GNSS) RWY 20
FNDU,Angola,IAP,RNAV (GNSS) RWY 04
FNGI,Angola,IAP,RNAV (GNSS) RWY 12
FNGI,Angola,IAP,RNAV (GNSS) RWY 30
FNHU,Angola,IAP,RNAV (GNSS) RWY 11
FNHU,Angola,IAP,RNAV (GNSS) RWY 29
FNLU,Angola,IAP,ILS DME Y RWY 23
FNLU,Angola,IAP,RNAV ILS DME Z RWY 23
FNLU,Angola,IAP,VOR DME RWY 05
FNME,Angola,IAP,RNAV (GNSS) RWY 13
FNME,Angola,IAP,RNAV (GNSS) RWY 31
FNMO,Angola,IAP,RNAV (GNSS) RWY 08
FNMO,Angola,IAP,RNAV (GNSS) RWY 26
FNMO,Angola,IAP,VOR DME RWY 08
FNMO,Angola,IAP,VOR DME RWY 26
FNSA,Angola,IAP,RNAV (GNSS) RWY 13
FNUB,Angola,IAP,RNAV (GNSS) RWY 28
FNUE,Angola,IAP,RNAV (GNSS) RWY 11
TQPF,Anguilla,IAP,RNP RWY 11
TQPF,Anguilla,IAP,RNP RWY 29
TAPA,Antigua,IAP,12 DME ARC RWY 07
TAPA,Antigua,IAP,12 DME ARC RWY 25
TAPA,Antigua,IAP,NDB-A
TAPA,Antigua,IAP,RNAV (GNSS) RWY 07
TAPA,Antigua,IAP,VOR DME RWY 07
TAPA,Antigua,IAP,VOR DME RWY 25
TAPA,Antigua,IAP,VOR RWY 07
TAPA,Antigua,IAP,VOR RWY 25
SAAG,Argentina,IAP,VOR RWY 19
SAAP,Argentina,IAP,ILS RWY 20
SAAP,Argentina,IAP,VOR RWY 20
SAAR,Argentina,SID,RNP DEPS (RWY 02)
SAAR,Argentina,SID,RNP DEPS (RWY 20)
SAAR,Argentina,IAP,ILS Y RWY 20
SAAR,Argentina,IAP,ILS Z RWY 20
SAAR,Argentina,IAP,RNP RWY 02
SAAR,Argentina,IAP,RNP RWY 20
SAAR,Argentina,IAP,VOR Z RWY 02
SAAR,Argentina,IAP,VOR Z RWY 20
SAAV,Argentina,IAP,ILS RWY 21
SAAV,Argentina,IAP,NDB RWY 03
SAAV,Argentina,IAP,NDB RWY 21
SABE,Argentina,SID,"ATOVO 4B, BIVAM 4B, LANDA 4B DEPS (RWY 13)"
SABE,Argentina,SID,"ATOVO 4B, BIVAM 4B, LANDA 4B DEPS (RWY 31)"
SABE,Argentina,SID,"DORVO, KUKEN, PAPIX, PTA & SURBO 8 DEPS (RWY 13)"
SABE,Argentina,SID,"DORVO, KUKEN, PAPIX, PTA & SURBO 8 DEPS (RWY 31)"
SABE,Argentina,SID,EL PALOMAR 9 DEP (RWY 13)
SABE,Argentina,SID,EL PALOMAR 9 DEP (RWY 31)
SABE,Argentina,STAR,"ASADA 8Q, PAGON 8Q, SNT 8Q, VALOS 9Q RNP ARRS"
SABE,Argentina,STAR,"ASADA 9R, PAGON 9R, PAPIX 2R, SNT 9R RNP ARRS"
SABE,Argentina,STAR,"GBE 8Q, KOVUK 8Q, TENIL 8Q, UGIMI 8Q RNP ARRS"
SABE,Argentina,STAR,"GBE 8R, TENIL 8R, UGIMI 8R,VALOS 9R RNP ARRS"
SABE,Argentina,STAR,"KUKEN 2Q, PAPIX 2Q, SURBO 8Q RNP ARRS"
SABE,Argentina,IAP,ILS X RWY 13 CAT II
SABE,Argentina,IAP,ILS Y RWY 13
SABE,Argentina,IAP,ILS Z RWY 13
SABE,Argentina,IAP,NDB RWY 31
SABE,Argentina,IAP,RNP RWY 13
SABE,Argentina,IAP,RNP RWY 31
SABE,Argentina,IAP,VOR RWY 13
SACO,Argentina,SID,"ALDEX, DONKA, LOGET & PAMAK 1C RNP DEPS"
SACO,Argentina,SID,"ALDEX, DONKA, LOGET & PAMAK 1G RNP DEPS"
SACO,Argentina,SID,"GENAS, MAVBI, SIMES, TREJO & UTRAX 1C RNP DEPS"
SACO,Argentina,SID,"GENAS, MAVBI, SIMES, TREJO & UTRAX 1G RNP DEPS"
SACO,Argentina,STAR,"ALDEX, DONKA, LOGET, PAMAK & SIBOL 1Q RNP ARRS"
SACO,Argentina,STAR,"ALDEX, DONKA, LOGET, PAMAK & SIBOL 1U RNP ARRS"
SACO,Argentina,STAR,"ALDEX, DONKA, LOGET, PAMAK & SIBOL 1Z RNP ARRS"
SACO,Argentina,STAR,"ALDEX,DONKA,ETEPO,LOGET,PAMAK & SIBOL 2X RNP ARRS"
SACO,Argentina,STAR,"ASISA, GEMOP, GENAS, MAVBI & SIMES 1Q RNP ARRS"
SACO,Argentina,STAR,"ASISA,GEMOP,GENAS,MAVBI,SIMES & TREJO 1U RNP ARRS"
SACO,Argentina,STAR,"ASISA,GEMOP,GENAS,MAVBI,SIMES & TREJO 1Z RNP ARRS"
SACO,Argentina,STAR,"ASISA,GEMOP,GENAS,MAVBI,SIMES & TREJO 2X RNP ARRS"
SACO,Argentina,IAP,ILS X RWY 19
SACO,Argentina,IAP,ILS Y RWY 19
SACO,Argentina,IAP,ILS Z RWY 19
SACO,Argentina,IAP,RNP RWY 01
SACO,Argentina,IAP,RNP RWY 05
SACO,Argentina,IAP,RNP RWY 19
SACO,Argentina,IAP,RNP RWY 23
SACO,Argentina,IAP,VOR Y RWY 19
SACO,Argentina,IAP,VOR Y RWY 23
SACO,Argentina,IAP,VOR Z RWY 19
SACO,Argentina,IAP,VOR Z RWY 23
SADP,Argentina,STAR,"ASADA 8Z, PAGON 8Z, SNT 8Z, VALOS 9Z RNP ARRS"
SADP,Argentina,STAR,"GBE 8Z, KOVUK 8Z, TENIL 8Z, UGIMI 8Z RNP ARRS"
SADP,Argentina,STAR,"KUKEN 2Z, PAPIX 2Z, SURBO 8Z RNP ARRS"
SADP,Argentina,IAP,ILS Z RWY 17
SADP,Argentina,IAP,RNP RWY 17
SADP,Argentina,IAP,VOR Z RWY 17
SAEZ,Argentina,SID,"ASADA, TORUL & URINO 1A DEPS"
SAEZ,Argentina,SID,"ASADA, TORUL & URINO 1E DEPS"
SAEZ,Argentina,SID,"ASADA, TORUL & URINO 1J DEPS"
SAEZ,Argentina,SID,"ASADA, TORUL & URINO 1L DEPS"
SAEZ,Argentina,SID,"ATOVO, BIVAM & LANDA 1E RWY 29 DEPS"
SAEZ,Argentina,SID,"ATOVO, BIVAM & LANDA 1J DEPS"
SAEZ,Argentina,SID,"ATOVO, BIVAM & LANDA 1L DEPS"
SAEZ,Argentina,SID,"ATOVO, BIVAM & LANDA 3A RWY 11 DEPS"
SAEZ,Argentina,SID,"DORVO,ESLAN,GBE,KOVUK,KUKEN,PAPIX & TEDAR 1A DEPS"
SAEZ,Argentina,SID,"DORVO,ESLAN,GBE,KOVUK,KUKEN,PAPIX & TEDAR 1E DEPS"
SAEZ,Argentina,SID,"DORVO,ESLAN,GBE,KOVUK,KUKEN,PAPIX & TEDAR 1J DEPS"
SAEZ,Argentina,SID,"DORVO,ESLAN,GBE,KOVUK,KUKEN,PAPIX & TEDAR 1L DEPS"
SAEZ,Argentina,STAR,"ASADA, GBE, PAGON & SNT 7U, VALOS 8U RNP ARRS"
SAEZ,Argentina,STAR,"ASADA, GBE, PAGON & SNT 7V, VALOS 8V RNP ARRS"
SAEZ,Argentina,STAR,"ASADA, GBE, PAGON, SNT & VALOS 7X RNP ARRS"
SAEZ,Argentina,STAR,"KOVUK, KUKEN, PAPIX, TENIL & UGIMI 7A ARRS"
SAEZ,Argentina,STAR,"KOVUK, KUKEN, PAPIX, TENIL & UGIMI 7B ARRS"
SAEZ,Argentina,IAP,ILS RWY 35
SAEZ,Argentina,IAP,ILS Y RWY 11
SAEZ,Argentina,IAP,ILS Z RWY 11 CAT II & III
SAEZ,Argentina,IAP,RNP RWY 11
SAEZ,Argentina,IAP,RNP RWY 17
SAEZ,Argentina,IAP,RNP RWY 29
SAEZ,Argentina,IAP,RNP RWY 35
SAEZ,Argentina,IAP,VOR RWY 29
SAME,Argentina,SID,"DOSLO, KAMUV, MEBRA, PAPIR & SALBO 2C RNP DEPS"
SAME,Argentina,SID,"DOSLO, KAMUV, MEBRA, PAPIR & SALBO 2G RNP DEPS"
SAME,Argentina,SID,ESITO & UMKAL 2C RNP DEPS
SAME,Argentina,SID,ESITO & UMKAL 2G RNP DEPS
SAME,Argentina,STAR,"ANLIS, MEBRA, PAPIR & SALBO 2U RNP ARRS"
SAME,Argentina,STAR,"DOSLO, MEBRA, PAPIR & SALBO 3Q RNP ARRS"
SAME,Argentina,STAR,ESITO & NEBEG 2Q RNP ARRS
SAME,Argentina,STAR,ESITO & NEBEG 2U RNP ARRS
SAME,Argentina,IAP,ILS Y RWY 36
SAME,Argentina,IAP,ILS Z RWY 36
SAME,Argentina,IAP,RNP RWY 18
SAME,Argentina,IAP,RNP RWY 36
SAME,Argentina,IAP,VOR RWY 18
SAME,Argentina,IAP,VOR RWY 36
SAMM,Argentina,IAP,VOR RWY 32
SAMR,Argentina,IAP,VOR RWY 11
SAMR,Argentina,IAP,VOR RWY 29
SANC,Argentina,SID,"KAKAN 2C, LITOR 2C, SORTI 2C RNP DEPS"
SANC,Argentina,SID,"KAKAN 2E, LITOR 2E, SORTI 2E DEPS"
SANC,Argentina,SID,"KAKAN 2G, LITOR 2G, SORTI 2G RNP DEPS"
SANC,Argentina,STAR,"ITELA 1Q, KAKAN 1Q, LITOR 1Q, SORTI 1Q RNAV ARRS"
SANC,Argentina,STAR,"ITELA 2M, KAKAN 2M, LITOR 2M, SORTI 2R RNP ARRS"
SANC,Argentina,IAP,RNP RWY 02
SANC,Argentina,IAP,RNP RWY 20
SANC,Argentina,IAP,VOR RWY 02
SANE,Argentina,SID,"ANGEN, DIKOR, PUBER & VUPRO 2C RNP DEPS"
SANE,Argentina,SID,"ANGEN, DIKOR, PUBER & VUPRO 2G RNP DEPS"
SANE,Argentina,IAP,RNP RWY 03
SANE,Argentina,IAP,RNP RWY 21
SANL,Argentina,IAP,ILS RWY 21
SANR,Argentina,IAP,ILS RWY 01
SANR,Argentina,IAP,VOR RWY 19
SANT,Argentina,SID,"ANGEN 1E, BITIS 3E,IMBOL 3E,PUBER 3E,SORTI 3E DEPS"
SANT,Argentina,SID,"ANGEN 2A, BITIS 4A,IMBOL 4A,PUBER 4A,SORTI 4A DEPS"
SANT,Argentina,SID,"DILAL 1A, DILAL 1B,ILPAR 4A,ILPAR 4B,ILTAV 1A DEPS"
SANT,Argentina,SID,"DILAL 1E, ILPAR 2E, ILTAV 1E DEPS"
SANT,Argentina,STAR,"ANGEN 1U, BITIS 1U, IMBOL 1U, SORTI 1U RNAV ARRS"
SANT,Argentina,STAR,ARRS (RWY 02)
SANT,Argentina,STAR,"DILAL 1V, PONPI 1U RNAV ARRS"
SANT,Argentina,STAR,RNAV ARRS (RWY 02)
SANT,Argentina,IAP,ILS Y RWY 02
SANT,Argentina,IAP,ILS Z RWY 02
SANT,Argentina,IAP,RNP RWY 02
SANT,Argentina,IAP,RNP RWY 20
SANT,Argentina,IAP,VOR RWY 02
SANU,Argentina,STAR,"DILIX 2A, ISUSA 2A, XONOM 2A RNP ARRS"
SANU,Argentina,STAR,"DODBO 2B, ISUSA 2B, MEBRA 2B RNP ARRS"
SANU,Argentina,IAP,ILS RWY 18
SANU,Argentina,IAP,RNP RWY 18
SANU,Argentina,IAP,RNP RWY 36
SANU,Argentina,IAP,VOR Z RWY 18
SAOC,Argentina,IAP,ILS Y RWY 05
SAOC,Argentina,IAP,ILS Z RWY 05
SAOC,Argentina,IAP,RNP RWY 05
SAOC,Argentina,IAP,RNP RWY 23
SAOC,Argentina,IAP,VOR RWY 05
SAOC,Argentina,IAP,VOR RWY 23
SAOR,Argentina,IAP,VOR RWY 06
SAOS,Argentina,IAP,RNP RWY 02
SAOS,Argentina,IAP,RNP RWY 20
SAOU,Argentina,SID,"FRAGA 2G, ISIPO 2G, MORRO 2G RNP DEPS"
SAOU,Argentina,STAR,RNP ARRS (RWY 01)
SAOU,Argentina,IAP,RNP RWY 01
SAOU,Argentina,IAP,VOR RWY 01
SARC,Argentina,SID,"AKPEL, BOBIK, DOPLU, GUKAS & PANOT 1M RNAV DEPS"
SARC,Argentina,SID,"AKPEL,BOBIK,DIGET,DOPLU,GUKAS & PANOT 1K RNAV DEPS"
SARC,Argentina,SID,"ESMOS 2K, KILIP 2K, LUTSO 2K, OPKAN 2K RNP DEPS"
SARC,Argentina,SID,"ESMOS 2M, KILIP 2M, LUTSO 2M, OPKAN 2M RNP DEPS"
SARC,Argentina,STAR,"AKPEL,BOBIK,DOPLU,GUKAS,PANOT & SOSNI 1Z RNAV ARRS"
SARC,Argentina,STAR,"AKPEL,DIGET,DOPLU&PANOT 1V, BOBIK&GUKAS 1V&1Y ARRS"
SARC,Argentina,STAR,"ESMOS 2Z, KILIP 2Z, LUTSO 2Z, OPKAN 2Z RNP ARRS"
SARC,Argentina,STAR,"ESMOS, KILIP LUTSO & OPKAN 2V, LUTSO 2Y RNP ARRS"
SARC,Argentina,IAP,ILS Y RWY 20
SARC,Argentina,IAP,ILS Z RWY 20
SARC,Argentina,IAP,RNP RWY 02
SARC,Argentina,IAP,RNP RWY 20
SARC,Argentina,IAP,VOR Z RWY 02
SARC,Argentina,IAP,VOR Z RWY 20
SARE,Argentina,SID,"AKPEL, DOPLU, GUKAS & PANOT 1C RNAV DEPS"
SARE,Argentina,SID,"AKPEL,BOBIK,DIGET,DOPLU,GUKAS & PANOT 1G RNAV DEPS"
SARE,Argentina,SID,"BOBIK, ESMOS, KILIP, LUTSO & OPKAN 2C RNP DEPS"
SARE,Argentina,SID,"ESMOS, KILIP, LUTSO & OPKAN 2G RNP DEPS"
SARE,Argentina,STAR,"AKPEL,BOBIK,DIGET,DOPLU,PANOT 1Q,GUKAS 1Q&1R ARRS"
SARE,Argentina,STAR,"AKPEL,BOBIK,DOPLU,GUKAS,PANOT & SOSNI 1U RNAV ARRS"
SARE,Argentina,STAR,"ESMOS, KILIP, LUTSO & OPKAN 2Q RNP ARRS"
SARE,Argentina,STAR,"ESMOS, KILIP, LUTSO & OPKAN 2U RNP ARRS"
SARE,Argentina,IAP,ILS Y RWY 21
SARE,Argentina,IAP,ILS Z RWY 21
SARE,Argentina,IAP,RNP RWY 03
SARE,Argentina,IAP,RNP RWY 21
SARE,Argentina,IAP,VOR Z RWY 03
SARE,Argentina,IAP,VOR Z RWY 21
SARF,Argentina,IAP,ILS RWY 22
SARF,Argentina,IAP,RNP RWY 04
SARF,Argentina,IAP,RNP RWY 22
SARF,Argentina,IAP,VOR RWY 04
SARI,Argentina,SID,"ALDOS 2G, ALGEL & UDENO 3G,COSTA 3G & 3H RNP DEPS"
SARI,Argentina,SID,"ALGEL, COSTA&UDENO 3C,ELAMO,NAIDE&POS 2C RNP DEPS"
SARI,Argentina,SID,"IVSOB & KAMIL 2G, UPORU 1G RNP DEPS"
SARI,Argentina,SID,"IVSOB, KAMIL & KOLNA 2C, UPORU 1C RNP DEPS"
SARI,Argentina,STAR,"ALGEL, COSTA&UDENO 3Q,ELAMO,NAIDE&POS 2Q RNP ARRS"
SARI,Argentina,STAR,"ALGEL, COSTA, DOKBA & UDENO 3M RNP ARRS"
SARI,Argentina,STAR,"DIDOM, ILMIS & KAMIL 2M, UPORU 1M RNP ARRS"
SARI,Argentina,STAR,"KOLNA, KOVSO & VUGLA 1Q RNAV ARRS"
SARI,Argentina,IAP,ILS Y RWY 31
SARI,Argentina,IAP,ILS Z RWY 31
SARI,Argentina,IAP,RNP RWY 13
SARI,Argentina,IAP,RNP RWY 31
SARI,Argentina,IAP,VOR Z RWY 13
SARI,Argentina,IAP,VOR Z RWY 31
SARP,Argentina,IAP,ILS RWY 20
SARP,Argentina,IAP,RNP RWY 02
SARP,Argentina,IAP,RNP Y RWY 20
SARP,Argentina,IAP,RNP Z RWY 20
SARP,Argentina,IAP,VOR RWY 02
SARP,Argentina,IAP,VOR RWY 20
SASA,Argentina,SID,ANKAB 1 RNP DEP
SASA,Argentina,SID,LIVUL 1 RNP DEP
SASA,Argentina,SID,MUBOK 2G RNP DEP
SASA,Argentina,SID,PONPI 1 RNP DEP
SASA,Argentina,SID,PONPI 4A DEP
SASA,Argentina,SID,PONPI 4E DEP
SASA,Argentina,SID,PONPI 4J DEP
SASA,Argentina,SID,USIXU 1 RNP DEP
SASA,Argentina,STAR,"ILPAR 2M, ILPAR 2N, JUJ 2A RNP ARRS"
SASA,Argentina,IAP,ILS Y RWY 02
SASA,Argentina,IAP,ILS Z RWY 02
SASA,Argentina,IAP,RNP RWY 02
SASA,Argentina,IAP,RNP RWY 06
SASA,Argentina,IAP,VOR RWY 02
SASA,Argentina,IAP,VOR RWY 06
